X;spp;unknown;artif;opena;fores;waterbodies;
1;1;Adelophryne baturitensis;1;1;0;1;0
2;2;Adelophryne maranguapensis;1;1;0;1;0
3;3;Adelophryne pachydactyla;1;1;0;1;0
4;4;Adenomera hylaedactyla;1;1;1;1;0
5;5;Agalychnis granulosa;1;0;0;1;0
6;6;Allobates femoralis;1;1;0;1;0
7;7;Allobates olfersioides;1;0;1;1;0
8;8;Ameerega flavopicta;1;0;1;1;0
9;9;Bokermannohyla alvarengai;1;0;1;0;0
10;10;Bokermannohyla diamantina;1;0;0;1;0
11;11;Bokermannohyla itapoty;1;0;1;0;0
12;12;Bokermannohyla oxente;1;0;0;1;0
13;13;Ceratophrys aurita;1;0;0;1;0
14;14;Ceratophrys joazeirensis;1;0;1;0;0
15;15;Chiasmocleis albopunctata;1;1;1;1;0
16;16;Chthonerpeton arii;1;1;1;0;0
17;17;Corythomantis greeningi;1;0;1;0;0
18;18;Dendropsophus bipunctatus;1;1;1;1;0
19;19;Dendropsophus branneri;1;1;1;0;0
20;20;Dendropsophus decipiens;1;1;1;1;0
21;21;Dendropsophus dutrai;1;0;0;1;0
22;22;Dendropsophus elegans;1;1;1;1;0
23;23;Dendropsophus minutus;1;1;1;1;0
24;24;Dendropsophus nanus;1;1;1;1;0
25;25;Dendropsophus novaisi;1;0;1;0;0
26;26;Dendropsophus oliveirai;1;0;1;1;0
27;27;Dendropsophus rubicundulus;1;0;1;0;0
28;28;Dendropsophus soaresi;1;0;1;1;0
29;29;Dendropsophus studerae;1;0;1;0;0
30;30;Dermatonotus muelleri;1;0;1;1;0
31;31;Elachistocleis ovalis;1;1;1;1;0
32;32;Elachistocleis piauiensis;1;1;1;0;0
33;33;Eleutherodactylus bilineatus;1;1;0;1;0
34;34;Frostius erythrophthalmus;1;0;0;1;0
35;35;Frostius pernambucensis;1;0;0;1;0
36;36;Gastrotheca fissipes;1;0;1;1;0
37;37;Haddadus aramunha;1;0;1;0;0
38;38;Haddadus binotatus;1;0;0;1;0
39;39;Hypsiboas albomarginatus;1;1;0;1;0
40;40;Hypsiboas albopunctatus;1;1;1;0;0
41;41;Hypsiboas atlanticus;1;1;0;1;0
42;42;Hypsiboas crepitans;1;1;1;1;0
43;43;Hypsiboas faber;1;1;0;1;0
44;44;Hypsiboas geographicus;1;1;1;1;0
45;45;Hypsiboas lundii;1;1;1;1;0
46;46;Hypsiboas multifasciatus;1;1;1;1;0
47;47;Hypsiboas pombali;1;0;0;1;0
48;48;Hypsiboas punctatus;1;1;0;1;0
49;49;Hypsiboas raniceps;1;1;1;1;0
50;50;Hypsiboas semilineatus;1;1;1;1;0
51;51;Itapotihyla langsdorffii;1;0;0;1;0
52;52;Leptodactylus caatingae;1;1;1;0;0
53;53;Leptodactylus furnarius;1;1;1;0;0
54;54;Leptodactylus fuscus;1;1;1;1;0
55;55;Leptodactylus latrans;1;1;1;1;0
56;56;Leptodactylus mystaceus;1;1;1;1;0
57;57;Leptodactylus mystacinus;1;1;1;1;0
58;58;Leptodactylus natalensis;1;1;1;1;0
59;59;Leptodactylus podicipinus;1;1;1;0;0
60;60;Leptodactylus pustulatus;1;1;1;0;0
61;61;Leptodactylus spixi;1;1;0;1;0
62;62;Leptodactylus syphax;1;0;1;0;0
63;63;Leptodactylus troglodytes;1;1;1;1;0
64;64;Leptodactylus vastus;1;0;1;0;0
65;65;Lithobates palmipes;1;0;0;1;0
66;66;Macrogenioglottus alipioi;1;1;0;1;0
67;67;Odontophrynus americanus;1;1;1;1;0
68;68;Odontophrynus carvalhoi;1;0;1;1;0
69;69;Phyllodytes acuminatus;1;0;0;1;0
70;70;Phyllodytes luteolus;1;1;1;1;0
71;71;Phyllodytes melanomystax;1;1;1;1;0
72;72;Phyllodytes tuberculosus;1;0;1;1;0
73;73;Phyllomedusa bahiana;1;0;1;0;0
74;74;Phyllomedusa bicolor;1;0;0;1;0
75;75;Phyllomedusa burmeisteri;1;1;0;1;0
76;76;Physalaemus albifrons;1;0;1;1;0
77;77;Physalaemus cicada;1;0;1;0;0
78;78;Physalaemus cuvieri;1;1;1;1;0
79;79;Physalaemus kroyeri;1;1;1;0;0
80;80;Physalaemus marmoratus;1;0;1;0;0
81;81;Physalaemus nattereri;1;0;1;0;0
82;82;Pipa carvalhoi;1;0;1;1;1
83;83;Pithecopus hypochondrialis;1;1;1;1;0
84;84;Pithecopus nordestinus;1;0;1;0;0
85;85;Pleurodema diplolister;1;1;1;0;0
86;86;Pristimantis ramagii;1;0;0;1;0
87;87;Proceratophrys boiei;1;1;0;1;0
88;88;Proceratophrys cristiceps;1;0;1;1;0
89;89;Pseudis bolbodactyla;1;0;1;0;0
90;90;Pseudis fusca;1;1;1;0;0
91;91;Pseudopaludicola falcipes;1;1;1;0;0
92;92;Pseudopaludicola mystacalis;1;1;1;0;0
93;93;Pseudopaludicola ternetzi;1;1;1;0;0
