spp;unknown;artif;opena;fores;waterbodies;
1;Accipiter bicolor;1;0;1;1;0
2;Accipiter striatus;1;1;1;1;0
3;Accipiter superciliosus;1;0;0;1;0
4;Actitis macularius;1;0;1;0;1
5;Aegolius harrisii;1;1;1;1;0
6;Agelaioides fringillarius;1;1;1;1;0
7;Alipiopsitta xanthops;1;0;1;1;0
8;Amaurolimnas concolor;1;1;0;1;1
9;Amazilia fimbriata;1;1;1;1;0
10;Amazilia lactea;1;1;0;1;0
11;Amazilia leucogaster;1;1;1;1;0
12;Amazilia sapphirina;1;1;1;1;0
13;Amazilia versicolor;1;1;1;1;0
14;Amazona aestiva;1;0;1;1;0
15;Amazona amazonica;1;1;1;1;0
16;Amazona vinacea;1;1;0;1;0
17;Amazonetta brasiliensis;1;0;1;1;1
18;Ammodramus humeralis;1;0;1;0;0
19;Anabacerthia lichtensteini;1;0;0;1;0
20;Anas bahamensis;1;1;1;1;1
21;Anas georgica;1;0;1;0;1
22;Anhima cornuta;1;0;1;1;1
23;Anhinga anhinga;1;1;1;1;1
24;Anodorhynchus hyacinthinus;1;0;1;1;0
25;Anodorhynchus leari;1;0;1;0;0
26;Anopetia gounellei;1;0;1;1;0
27;Anous minutus;1;1;1;1;1
28;Anous stolidus;1;1;1;1;1
29;Anthracothorax nigricollis;1;1;1;1;0
30;Anthus lutescens;1;1;1;0;0
31;Antilophia bokermanni;1;1;0;1;0
32;Antrostomus rufus;1;1;1;1;0
33;Anumara forbesi;1;0;1;1;0
34;Aphantochroa cirrochloris;1;1;0;1;0
35;Ara ararauna;1;0;1;1;0
36;Ara chloropterus;1;0;1;1;0
37;Aramides cajaneus;1;0;0;1;1
38;Aramides mangle;1;1;0;1;1
39;Aramides ypecaha;1;1;0;1;1
40;Aramus guarauna;1;0;1;1;1
41;Aratinga auricapillus;1;1;1;1;0
42;Aratinga jandaya;1;1;0;1;0
43;Ardea alba;1;0;1;0;1
44;Ardea cocoi;1;1;1;1;1
45;Ardenna gravis;1;0;1;1;0
46;Ardenna grisea;1;0;1;0;0
47;Arenaria interpres;1;0;1;0;1
48;Arremon franciscanus;1;0;1;0;0
49;Arremon taciturnus;1;0;0;1;0
50;Arundinicola leucocephala;1;0;1;0;0
51;Asemospiza fuliginosa;1;1;1;1;0
52;Asio clamator;1;1;1;1;0
53;Asio stygius;1;1;0;1;0
54;Asthenes luizae;1;0;1;0;0
55;Athene cunicularia;1;1;1;0;0
56;Attila rufus;1;0;1;1;0
57;Attila spadiceus;1;1;1;1;0
58;Augastes lumachella;1;0;1;0;0
59;Augastes scutatus;1;0;1;1;0
60;Automolus lammi;1;1;0;1;0
61;Automolus leucophthalmus;1;0;0;1;0
62;Avocettula recurvirostris;1;0;1;1;0
63;Baryphthengus ruficapillus;1;1;0;1;0
64;Basileuterus auricapilla;1;1;0;1;0
65;Berlepschia rikeri;1;0;1;1;0
66;Brachygalba lugubris;1;1;1;1;0
67;Brotogeris chiriri;1;1;1;1;0
68;Brotogeris tirica;1;1;0;1;0
69;Bubo virginianus;1;1;1;1;0
70;Bubulcus ibis;1;1;1;1;1
71;Bulweria bulwerii;1;0;1;0;0
72;Busarellus nigricollis;1;0;0;1;0
73;Buteo albonotatus;1;1;1;1;0
74;Buteo brachyurus;1;0;1;1;0
75;Buteo nitidus;1;0;1;1;0
76;Buteo swainsoni;1;1;1;0;0
77;Buteogallus aequinoctialis;1;0;1;1;0
78;Buteogallus coronatus;1;1;1;1;0
79;Buteogallus lacernulatus;1;0;1;1;0
80;Buteogallus meridionalis;1;1;1;1;0
81;Buteogallus urubitinga;1;1;1;1;0
82;Butorides striata;1;0;0;1;1
83;Cacicus cela;1;0;1;1;0
84;Cacicus haemorrhous;1;0;0;1;0
85;Cacicus solitarius;1;0;0;1;0
86;Cairina moschata;1;0;0;1;1
87;Calidris alba;1;0;1;0;1
88;Calidris canutus;1;0;1;0;1
89;Calidris fuscicollis;1;0;1;0;1
90;Calidris melanotos;1;0;1;0;1
91;Calidris minutilla;1;0;1;1;1
92;Calidris pusilla;1;0;1;0;1
93;Calliphlox amethystina;1;1;1;1;0
94;Calonectris borealis;1;0;0;0;0
95;Calonectris diomedea;1;0;0;0;0
96;Campephilus melanoleucos;1;1;1;1;0
97;Campephilus robustus;1;0;0;1;0
98;Camptostoma obsoletum;1;1;1;1;0
99;Campylorhamphus falcularius;1;0;1;1;0
100;Campylorhamphus trochilirostris;1;1;1;1;0
101;Campylorhynchus turdinus;1;1;1;1;0
102;Cantorchilus leucotis;1;1;0;1;0
103;Cantorchilus longirostris;1;1;1;1;0
104;Capsiempis flaveola;1;1;1;1;0
105;Caracara plancus;1;1;1;0;0
106;Cariama cristata;1;0;1;1;0
107;Caryothraustes canadensis;1;1;0;1;0
108;Casiornis fuscus;1;0;1;0;0
109;Cathartes aura;1;1;1;1;0
110;Cathartes burrovianus;1;1;1;1;0
111;Celeus flavescens;1;1;1;1;0
112;Celeus flavus;1;1;0;1;0
113;Celeus obrieni;1;0;1;0;0
114;Celeus ochraceus;1;1;1;1;0
115;Celeus tinnunculus;1;1;0;1;0
116;Ceratopipra rubrocapilla;1;0;0;1;0
117;Cercomacra brasiliana;1;0;1;1;0
118;Cercomacroides laeta;1;1;1;1;0
119;Certhiaxis cinnamomeus;1;0;0;1;0
120;Chaetura meridionalis;1;1;1;1;0
121;Chaetura spinicaudus;1;1;0;1;0
122;Chamaeza campanisona;1;0;0;1;0
123;Chamaeza meruloides;1;0;0;1;0
124;Charadrius collaris;1;0;1;0;1
125;Charadrius semipalmatus;1;0;1;0;1
126;Charadrius wilsonia;1;0;1;0;1
127;Charitospiza eucosma;1;0;1;0;0
128;Chelidoptera tenebrosa;1;1;1;1;0
129;Chiroxiphia pareola;1;0;0;1;0
130;Chlidonias niger;1;1;1;1;1
131;Chloroceryle amazona;1;0;0;1;0
132;Chloroceryle americana;1;1;0;1;0
133;Chlorophanes spiza;1;1;0;1;0
134;Chlorophonia cyanea;1;1;0;1;0
135;Chlorostilbon lucidus;1;1;1;1;0
136;Chlorostilbon notatus;1;1;1;1;0
137;Chondrohierax uncinatus;1;1;1;1;0
138;Chordeiles acutipennis;1;1;1;0;0
139;Chordeiles minor;1;1;1;1;0
140;Chordeiles nacunda;1;1;1;0;0
141;Chordeiles pusillus;1;0;1;0;0
142;Chrysolampis mosquitus;1;1;1;0;0
143;Chrysomus ruficapillus;1;1;1;0;0
144;Ciccaba huhula;1;1;0;1;0
145;Ciccaba virgata;1;1;1;1;0
146;Cichlocolaptes leucophrus;1;0;0;1;0
147;Circus buffoni;1;1;1;0;0
148;Cistothorus platensis;1;1;1;0;0
149;Claravis pretiosa;1;1;1;1;0
150;Clibanornis rectirostris;1;0;0;1;0
151;Cnemotriccus fuscatus;1;1;1;1;0
152;Coccyzus americanus;1;1;1;1;0
153;Coccyzus euleri;1;1;1;1;0
154;Coccyzus melacoryphus;1;1;0;1;0
155;Cochlearius cochlearius;1;0;0;1;1
156;Coereba flaveola;1;1;1;1;0
157;Colaptes campestris;1;1;1;1;0
158;Colaptes melanochloros;1;0;1;1;0
159;Colibri delphinae;1;1;0;1;0
160;Colibri serrirostris;1;1;1;1;0
161;Colonia colonus;1;1;0;1;0
162;Columbina minuta;1;1;1;0;0
163;Columbina passerina;1;1;1;0;0
164;Columbina picui;1;1;1;0;0
165;Columbina squammata;1;1;1;0;0
166;Columbina talpacoti;1;1;1;0;0
167;Compsothraupis loricata;1;0;0;1;0
168;Conirostrum bicolor;1;0;1;1;0
169;Conirostrum speciosum;1;1;1;1;0
170;Conopias trivirgatus;1;0;0;1;0
171;Conopophaga cearae;1;0;1;1;0
172;Conopophaga lineata;1;0;1;1;0
173;Conopophaga melanops;1;1;0;1;0
174;Conopophaga roberti;1;0;0;1;0
175;Contopus cinereus;1;1;1;1;0
176;Coragyps atratus;1;1;1;1;0
177;Coryphaspiza melanotis;1;0;1;0;0
178;Coryphospingus pileatus;1;1;1;1;0
