spp;unknown;artif;opena;fores;waterbodies;
1;Akodon cursor;1;0;0;1;0
2;Alouatta belzebul;1;0;0;1;0
3;Alouatta caraya;1;0;1;1;0
4;Alouatta guariba;1;0;0;1;0
5;Alouatta ululata;1;0;0;1;0
6;Anoura geoffroyi;1;1;0;1;0
7;Artibeus concolor;1;0;0;1;0
8;Artibeus fimbriatus;1;0;0;1;0
9;Artibeus lituratus;1;1;0;1;0
10;Artibeus obscurus;1;0;1;1;0
11;Artibeus planirostris;1;1;0;1;0
12;Blastocerus dichotomus;1;0;1;0;0
13;Bradypus torquatus;1;1;0;1;0
14;Bradypus variegatus;1;1;0;1;0
15;Cabassous tatouay;1;1;1;1;0
16;Cabassous unicinctus;1;1;1;1;0
17;Callicebus barbarabrownae;1;0;1;0;0
18;Callicebus coimbrai;1;0;1;1;0
19;Callicebus melanochir;1;0;0;1;0
20;Callithrix jacchus;1;0;1;1;0
21;Callithrix kuhlii;1;1;0;1;0
22;Callithrix penicillata;1;0;1;1;0
23;Calomys callosus;1;1;1;0;0
24;Calomys expulsus;1;1;1;0;0
25;Calomys tener;1;1;1;0;0
26;Caluromys philander;1;1;0;1;0
27;Carollia brevicauda;1;0;1;1;0
28;Carollia perspicillata;1;0;0;1;0
29;Carterodon sulcidens;1;0;1;1;0
30;Cavia aperea;1;0;1;0;0
31;Cavia fulgida;1;0;1;1;0
32;Centronycteris maximiliani;1;0;0;1;0
33;Cerdocyon thous;1;1;1;1;0
34;Cerradomys subflavus;1;1;0;1;0
35;Chaetomys subspinosus;1;1;0;1;0
36;Chiroderma doriae;1;1;0;1;0
37;Chironectes minimus;1;0;0;1;0
38;Choeroniscus minor;1;1;0;1;0
39;Chrotopterus auritus;1;1;0;1;0
40;Chrysocyon brachyurus;1;1;1;1;0
41;Clyomys laticeps;1;0;1;0;0
42;Coendou baturitensis;1;0;0;1;0
43;Coendou insidiosus;1;1;0;1;0
44;Coendou prehensilis;1;0;0;1;0
45;Conepatus semistriatus;1;0;1;1;0
46;Cryptonanus agricolai;1;0;1;1;0
47;Cuniculus paca;1;0;0;1;0
48;Cyclopes didactylus;1;0;0;1;0
49;Cynomops abrasus;1;0;0;1;0
50;Cynomops greenhalli;1;1;0;1;0
51;Cynomops planirostris;1;0;0;1;0
52;Dasyprocta iacki;1;0;0;1;0
53;Dasyprocta leporina;1;1;0;1;0
54;Dasyprocta prymnolopha;1;0;1;1;0
55;Dasypus novemcinctus;1;1;1;1;0
56;Dasypus septemcinctus;1;0;1;1;0
57;Dermanura cinerea;1;1;1;1;0
58;Dermanura gnoma;1;1;0;1;0
59;Desmodus rotundus;1;1;0;0;0
60;Diaemus youngi;1;1;0;1;0
61;Diclidurus albus;1;1;0;1;0
62;Didelphis albiventris;1;1;1;1;0
63;Didelphis aurita;1;1;1;1;0
64;Diphylla ecaudata;1;0;1;1;0
65;Eira barbara;1;0;1;1;0
66;Eptesicus brasiliensis;1;0;0;1;0
67;Eptesicus diminutus;1;1;0;1;0
68;Eptesicus furinalis;1;1;0;1;0
69;Eumops auripendulus;1;1;1;1;0
70;Eumops glaucinus;1;1;0;1;0
71;Eumops perotis;1;1;0;1;0
72;Euphractus sexcinctus;1;1;1;1;0
73;Furipterus horrens;1;0;0;1;0
74;Galea spixii;1;0;1;0;0
75;Galictis cuja;1;1;1;1;0
76;Galictis vittata;1;1;1;1;0
77;Glossophaga soricina;1;1;1;1;0
78;Gracilinanus agilis;1;0;0;1;0
79;Herpailurus yagouaroundi;1;0;1;1;0
80;Histiotus velatus;1;1;0;1;0
81;Holochilus brasiliensis;1;1;0;1;0
82;Holochilus sciureus;1;0;1;0;0
83;Hydrochoerus hydrochaeris;1;0;1;1;0
84;Hylaeamys oniscus;1;0;0;1;0
85;Kerodon rupestris;1;0;1;0;0
86;Lasiurus blossevillii;1;1;1;1;0
87;Lasiurus cinereus;1;1;0;1;0
88;Lasiurus ega;1;0;0;1;0
89;Leopardus pardalis;1;0;1;1;0
90;Leopardus tigrinus;1;0;1;1;0
91;Leopardus wiedii;1;0;1;1;0
92;Lichonycteris obscura;1;1;0;1;0
93;Lonchophylla mordax;1;0;0;1;0
94;Lonchorhina aurita;1;1;0;1;0
95;Lontra longicaudis;1;1;1;1;1
96;Lophostoma brasiliense;1;1;1;1;0
97;Lophostoma carrikeri;1;0;1;1;0
98;Lophostoma silvicolum;1;0;0;1;0
99;Lycalopex vetulus;1;1;1;0;0
100;Macrophyllum macrophyllum;1;0;0;1;0
101;Makalata didelphoides;1;1;0;1;0
102;Marmosa demerarae;1;0;0;1;0
103;Marmosa murina;1;1;0;1;0
104;Marmosops incanus;1;0;0;1;0
105;Mazama gouazoubira;1;1;1;1;0
106;Mazama nemorivaga;1;0;1;1;0
107;Metachirus nudicaudatus;1;1;1;1;0
108;Micronycteris hirsuta;1;1;0;1;0
109;Micronycteris megalotis;1;1;0;1;0
110;Micronycteris minuta;1;1;0;1;0
111;Micronycteris sanborni;1;0;1;1;0
112;Micronycteris schmidtorum;1;0;0;1;0
113;Mimon bennettii;1;0;1;1;0
114;Mimon crenulatum;1;1;1;1;0
115;Molossops mattogrossensis;1;1;1;1;0
116;Molossops temminckii;1;1;0;1;0
117;Molossus molossus;1;1;0;1;0
118;Molossus rufus;1;1;1;1;0
119;Monodelphis americana;1;0;1;1;0
120;Monodelphis domestica;1;1;1;1;0
121;Mus musculus;1;1;1;0;0
122;Myotis albescens;1;1;0;1;0
123;Myotis lavali;1;0;1;1;0
124;Myotis nigricans;1;1;0;1;0
125;Myotis riparius;1;0;0;1;0
126;Myrmecophaga tridactyla;1;1;1;1;0
127;Nasua nasua;1;0;1;1;0
128;Natalus espiritosantensis;1;1;1;1;0
129;Necromys lasiurus;1;1;1;1;0
130;Nectomys rattus;1;1;1;1;0
131;Nectomys squamipes;1;1;1;1;0
132;Noctilio albiventris;1;0;1;1;0
133;Noctilio leporinus;1;0;1;1;0
134;Nyctinomops aurispinosus;1;1;0;1;0
135;Nyctinomops laticaudatus;1;1;0;1;0
136;Nyctinomops macrotis;1;1;0;1;0
137;Oecomys catherinae;1;0;1;0;0
138;Oecomys trinitatis;1;0;0;1;0
139;Oligoryzomys eliurus;1;0;1;1;0
140;Oligoryzomys flavescens;1;0;1;0;0
141;Oligoryzomys fornesi;1;0;1;0;0
142;Oligoryzomys nigripes;1;0;1;1;0
143;Oligoryzomys rupestris;1;0;1;0;0
144;Oligoryzomys stramineus;1;0;1;1;0
145;Oxymycterus angularis;1;0;1;0;0
146;Oxymycterus dasytrichus;1;0;1;1;0
147;Oxymycterus hispidus;1;0;0;1;0
148;Oxymycterus roberti;1;1;1;1;0
149;Panthera onca;1;1;1;1;0
150;Pecari tajacu;1;1;1;1;0
151;Peropteryx kappleri;1;0;0;1;0
152;Peropteryx leucoptera;1;0;0;1;0
153;Peropteryx macrotis;1;1;1;1;0
154;Phylloderma stenops;1;0;1;1;0
155;Phyllomys blainvillii;1;0;0;1;0
156;Phyllomys lamarum;1;0;0;1;0
157;Phyllomys pattoni;1;0;0;1;0
158;Phyllostomus discolor;1;1;1;1;0
159;Phyllostomus elongatus;1;0;0;1;0
160;Phyllostomus hastatus;1;1;1;1;0
161;Platyrrhinus lineatus;1;0;0;1;0
162;Platyrrhinus recifinus;1;0;1;1;0
163;Potos flavus;1;0;0;1;0
164;Procyon cancrivorus;1;0;0;1;0
165;Promops nasutus;1;1;1;1;0
166;Pseudoryzomys simplex;1;0;1;0;0
167;Pteronotus personatus;1;0;1;1;0
168;Puma concolor;1;0;1;1;0
169;Pygoderma bilabiatum;1;1;0;1;0
170;Rhinophylla pumilio;1;0;0;1;0
171;Rhipidomys cariri;1;1;1;0;0
172;Rhipidomys macrurus;1;1;1;1;0
173;Rhipidomys mastacalis;1;0;0;1;0
174;Rhogeessa hussoni;1;0;0;1;0
175;Rhynchonycteris naso;1;0;0;1;0
176;Saccopteryx bilineata;1;0;0;1;0
177;Saccopteryx leptura;1;1;0;1;0
178;Sapajus flavius;1;0;0;1;0
179;Sapajus libidinosus;1;0;1;1;0
180;Sapajus xanthosternos;1;0;0;1;0
181;Sciurus aestuans;1;1;0;1;0
182;Speothos venaticus;1;1;1;1;0
183;Sturnira lilium;1;0;0;1;0
184;Sturnira tildae;1;0;0;1;0
185;Sylvilagus brasiliensis;1;1;0;1;0
186;Tadarida brasiliensis;1;1;0;1;0
187;Tamandua tetradactyla;1;0;1;1;0
188;Tapirus terrestris;1;0;1;1;0
189;Tayassu pecari;1;0;1;1;0
190;Thalpomys lasiotis;1;0;1;0;0
191;Thaptomys nigrita;1;0;1;1;0
192;Thrichomys apereoides;1;0;1;0;0
193;Thrichomys inermis;1;0;1;1;0
194;Thrichomys laurentius;1;0;0;1;0
195;Thylamys karimii;1;0;1;1;0
196;Thyroptera tricolor;1;0;1;1;0
197;Tolypeutes tricinctus;1;0;1;0;0
198;Tonatia bidens;1;0;0;1;0
199;Tonatia saurophila;1;1;0;1;0
200;Trachops cirrhosus;1;1;0;1;0
201;Trinomys albispinus;1;0;1;1;0
202;Trinomys iheringi;1;0;0;1;0
203;Trinomys setosus;1;0;1;1;0
204;Trinomys yonenagae;1;0;1;0;0
205;Uroderma bilobatum;1;0;1;1;0
206;Uroderma magnirostrum;1;0;0;1;0
207;Wiedomys pyrrhorhinos;1;0;1;0;0
208;Xeronycteris vieirai;1;0;1;1;0
