"X";"spp";"unknown";"artif";"opena";"fores";"waterbodies"
"1";"  1";"Acanthochelys radiolata";"1";"1";"1";"1";"1"
"2";"  2";"Acratosaura mentalis";"1";"0";"1";"1";"0"
"3";"  3";"Acratosaura spinosa";"1";"1";"1";"1";"0"
"4";"  4";"Alexandresaurus camacan";"1";"1";"1";"1";"0"
"5";"  5";"Ameiva ameiva";"1";"1";"1";"1";"0"
"6";"  6";"Ameivula abaetensis";"1";"1";"1";"1";"0"
"7";"  7";"Ameivula confusioniba";"1";"0";"1";"0";"0"
"8";"  8";"Ameivula cyanura";"1";"1";"1";"1";"0"
"9";"  9";"Ameivula nigrigula";"1";"1";"1";"1";"0"
"10";" 10";"Ameivula ocellifera";"1";"1";"1";"1";"0"
"11";" 11";"Ameivula pyrrhogularis";"1";"0";"1";"0";"0"
"12";" 12";"Ameivula venetacauda";"1";"0";"1";"0";"0"
"13";" 13";"Amerotyphlops amoipira";"1";"0";"0";"1";"0"
"14";" 14";"Amerotyphlops arenensis";"1";"1";"1";"1";"0"
"15";" 15";"Amerotyphlops brongersmianus";"1";"1";"1";"1";"0"
"16";" 16";"Amerotyphlops paucisquamus";"1";"1";"1";"1";"0"
"17";" 17";"Amerotyphlops reticulatus";"1";"0";"1";"1";"0"
"18";" 18";"Amerotyphlops yonenagae";"1";"1";"1";"1";"0"
"19";" 19";"Amphisbaena alba";"1";"1";"1";"1";"0"
"20";" 20";"Amphisbaena amazonica";"1";"1";"1";"1";"0"
"21";" 21";"Amphisbaena arenaria";"1";"1";"1";"1";"0"
"22";" 22";"Amphisbaena bahiana";"1";"1";"1";"1";"0"
"23";" 23";"Amphisbaena carvalhoi";"1";"1";"1";"1";"0"
"24";" 24";"Amphisbaena frontalis";"1";"1";"1";"1";"0"
"25";" 25";"Amphisbaena hastata";"1";"1";"1";"1";"0"
"26";" 26";"Amphisbaena heathi";"1";"1";"1";"1";"0"
"27";" 27";"Amphisbaena ignatiana";"1";"1";"1";"1";"0"
"28";" 28";"Amphisbaena infraorbitale";"1";"1";"1";"1";"0"
"29";" 29";"Amphisbaena kisteumacheri";"1";"1";"1";"1";"0"
"30";" 30";"Amphisbaena littoralis";"1";"1";"1";"1";"0"
"31";" 31";"Amphisbaena lumbricalis";"1";"1";"1";"1";"0"
"32";" 32";"Amphisbaena microcephalum";"1";"1";"1";"1";"0"
"33";" 33";"Amphisbaena nigricauda";"1";"1";"1";"1";"0"
"34";" 34";"Amphisbaena polystegum";"1";"0";"0";"1";"0"
"35";" 35";"Amphisbaena pretrei";"1";"1";"0";"0";"0"
"36";" 36";"Amphisbaena supernumeraria";"1";"1";"1";"1";"0"
"37";" 37";"Amphisbaena uroxena";"1";"1";"1";"1";"0"
"38";" 38";"Amphisbaena vermicularis";"1";"1";"1";"1";"0"
"39";" 39";"Amphisbaena wiedi";"1";"1";"1";"1";"0"
"40";" 40";"Amphisbaena wuchereri";"1";"1";"1";"1";"0"
"41";" 41";"Anilius scytale";"1";"1";"1";"1";"0"
"42";" 42";"Anolis brasiliensis";"1";"1";"1";"1";"0"
"43";" 43";"Anolis chrysolepis";"1";"1";"1";"1";"0"
"44";" 44";"Anolis fuscoauratus";"1";"1";"1";"1";"0"
"45";" 45";"Anolis meridionalis";"1";"1";"1";"1";"0"
"46";" 46";"Anolis ortonii";"1";"1";"1";"1";"0"
"47";" 47";"Anolis punctatus";"1";"1";"1";"1";"0"
"48";" 48";"Anolis williamsii";"1";"1";"1";"1";"0"
"49";" 49";"Anotosaura collaris";"1";"1";"1";"1";"0"
"50";" 50";"Anotosaura vanzolinia";"1";"0";"1";"0";"0"
"51";" 51";"Apostolepis ammodites";"1";"1";"1";"1";"0"
"52";" 52";"Apostolepis arenaria";"1";"1";"1";"1";"0"
"53";" 53";"Apostolepis assimilis";"1";"1";"1";"1";"0"
"54";" 54";"Apostolepis cearensis";"1";"1";"1";"1";"0"
"55";" 55";"Apostolepis flavotorquata";"1";"1";"1";"1";"0"
"56";" 56";"Apostolepis gaboi";"1";"1";"1";"1";"0"
"57";" 57";"Arthrosaura reticulata";"1";"1";"1";"1";"0"
"58";" 58";"Atractus caete";"1";"1";"1";"1";"0"
"59";" 59";"Atractus pantostictus";"1";"1";"1";"1";"0"
"60";" 60";"Atractus potschi";"1";"1";"1";"1";"0"
"61";" 61";"Atractus ronnie";"1";"1";"1";"1";"0"
"62";" 62";"Bachia bresslaui";"1";"0";"1";"0";"0"
"63";" 63";"Boa constrictor";"1";"1";"1";"1";"0"
"64";" 64";"Boiruna sertaneja";"1";"1";"1";"1";"0"
"65";" 65";"Bothrops bilineata";"1";"1";"1";"1";"0"
"66";" 66";"Bothrops erythromelas";"1";"0";"1";"1";"0"
"67";" 67";"Bothrops itapetiningae";"1";"0";"1";"0";"0"
"68";" 68";"Bothrops jararaca";"1";"1";"1";"1";"0"
"69";" 69";"Bothrops jararacussu";"1";"0";"0";"1";"0"
"70";" 70";"Bothrops leucurus";"1";"1";"1";"1";"0"
"71";" 71";"Bothrops lutzi";"1";"0";"1";"0";"0"
"72";" 72";"Bothrops moojeni";"1";"1";"1";"1";"0"
"73";" 73";"Bothrops muriciensis";"1";"1";"1";"1";"0"
"74";" 74";"Bothrops neuwiedi";"1";"1";"1";"1";"0"
"75";" 75";"Bothrops pirajai";"1";"0";"0";"1";"0"
"76";" 76";"Brasiliscincus agilis";"1";"0";"0";"1";"0"
"77";" 77";"Brasiliscincus heathi";"1";"0";"1";"0";"0"
"78";" 78";"Caaeteboia amarali";"1";"1";"1";"1";"0"
"79";" 79";"Caiman crocodilus";"1";"0";"1";"1";"1"
"80";" 80";"Caiman latirostris";"1";"1";"1";"1";"1"
"81";" 81";"Calyptommatus confusionibus";"1";"0";"1";"0";"0"
"82";" 82";"Calyptommatus leiolepis";"1";"1";"1";"1";"0"
"83";" 83";"Calyptommatus nicterus";"1";"1";"1";"1";"0"
"84";" 84";"Calyptommatus sinebrachiatus";"1";"1";"1";"1";"0"
"85";" 85";"Cercosaura ocellata";"1";"1";"1";"1";"0"
"86";" 86";"Cercosaura schreibersii";"1";"0";"1";"0";"0"
"87";" 87";"Chelonoidis carbonaria";"1";"1";"1";"1";"0"
"88";" 88";"Chelonoidis denticulata";"1";"1";"1";"1";"0"
"89";" 89";"Chironius bicarinatus";"1";"1";"1";"1";"0"
"90";" 90";"Chironius carinatus";"1";"1";"1";"1";"0"
"91";" 91";"Chironius diamantina";"1";"1";"1";"1";"0"
"92";" 92";"Chironius exoletus";"1";"1";"1";"1";"0"
"93";" 93";"Chironius flavolineatus";"1";"1";"1";"1";"0"
"94";" 94";"Chironius foveatus";"1";"1";"1";"1";"0"
"95";" 95";"Chironius fuscus";"1";"1";"1";"1";"0"
"96";" 96";"Chironius laevicollis";"1";"1";"1";"1";"0"
"97";" 97";"Chironius quadricarinatus";"1";"1";"1";"1";"0"
"98";" 98";"Clelia clelia";"1";"1";"1";"1";"0"
"99";" 99";"Clelia plumbea";"1";"1";"1";"1";"0"
"100";"100";"Cnemidophorus lemniscatus";"1";"1";"1";"1";"0"
"101";"101";"Coleodactylus meridionalis";"1";"0";"1";"1";"0"
"102";"102";"Coleodactylus natalensis";"1";"0";"0";"1";"0"
"103";"103";"Colobosaura modesta";"1";"1";"1";"1";"0"
"104";"104";"Colobosauroides carvalhoi";"1";"1";"1";"1";"0"
"105";"105";"Colobosauroides cearensis";"1";"0";"1";"0";"0"
"106";"106";"Copeoglossum arajara";"1";"0";"1";"0";"0"
"107";"107";"Copeoglossum nigropunctatum";"1";"1";"1";"1";"0"
"108";"108";"Corallus hortulanus";"1";"1";"1";"1";"0"
"109";"109";"Coronelaps lepidus";"1";"1";"1";"1";"0"
"110";"110";"Crotalus durissus";"1";"0";"1";"1";"0"
"111";"111";"Diploglossus lessonae";"1";"0";"0";"1";"0"
"112";"112";"Dipsas catesbyi";"1";"0";"0";"1";"0"
"113";"113";"Dipsas indica";"1";"1";"1";"1";"0"
"114";"114";"Dipsas sazimai";"1";"1";"1";"1";"0"
"115";"115";"Dipsas variegata";"1";"1";"1";"1";"0"
"116";"116";"Dryadosaura nordestina";"1";"0";"1";"1";"0"
"117";"117";"Drymarchon corais";"1";"1";"1";"1";"0"
"118";"118";"Drymoluber brazili";"1";"1";"1";"1";"0"
"119";"119";"Drymoluber dichrous";"1";"1";"1";"1";"0"
"120";"120";"Echinanthera cephalomaculata";"1";"1";"1";"1";"0"
"121";"121";"Echinanthera cephalostriata";"1";"1";"1";"1";"0"
"122";"122";"Elapomorphus wuchereri";"1";"1";"1";"1";"0"
"123";"123";"Enyalius bibronii";"1";"0";"1";"1";"0"
